كَتَبَ	كتب	kátaba
وَكَتَبْتَهُمَا	وكتبتهما	wakatabtáhuma̱
وَكَتَبْتَهُنَّ	وكتبتهن	wakatabtahúnna
فَكَتَبْتَ	فكتبت	fakatábta
فَكَتَبْتَنِي	فكتبتني	fakatábtani̱
فَكَتَبْتَنَا	فكتبتنا	fakatábtana̱
فَكَتَبْتَكَ	فكتبتك	fakatábtaka
فَكَتَبْتَكِ	فكتبتك	fakatábtaki
فَكَتَبْتَكُمْ	فكتبتكم	fakatábtakum
فَكَتَبْتَكُمَا	فكتبتكما	fakatabtákuma̱
فَكَتَبْتَهَا	فكتبتها	fakatábtaha̱
فَكَتَبْتَهُ	فكتبته	fakatábtahu
فَكَتَبْتَهُمْ	فكتبتهم	fakatábtahum
فَكَتَبْتَهُمَا	فكتبتهما	fakatabtáhuma̱
فَكَتَبْتَهُنَّ	فكتبتهن	fakatabtahúnna
أَكَتَبْتَ	أكتبت	ʾakatábta
أَكَتَبْتَنِي	أكتبتني	ʾakatábtani̱
أَكَتَبْتَنَا	أكتبتنا	ʾakatábtana̱
أَكَتَبْتَكَ	أكتبتك	ʾakatábtaka
أَكَتَبْتَكِ	أكتبتك	ʾakatábtaki
أَكَتَبْتَكُمْ	أكتبتكم	ʾakatábtakum
أَكَتَبْتَكُمَا	أكتبتكما	ʾakatabtákuma̱
أَكَتَبْتَهَا	أكتبتها	ʾakatábtaha̱
أَكَتَبْتَهُ	أكتبته	ʾakatábtahu
أَكَتَبْتَهُمْ	أكتبتهم	ʾakatábtahum
أَكَتَبْتَهُمَا	أكتبتهما	ʾakatabtáhuma̱
أَكَتَبْتَهُنَّ	أكتبتهن	ʾakatabtahúnna
أَوَكَتَبْتَ	أوكتبت	ʾawakatábta
أَوَكَتَبْتَنِي	أوكتبتني	ʾawakatábtani̱
أَوَكَتَبْتَنَا	أوكتبتنا	ʾawakatábtana̱
أَوَكَتَبْتَكَ	أوكتبتك	ʾawakatábtaka
أَوَكَتَبْتَكِ	أوكتبتك	ʾawakatábtaki
أَوَكَتَبْتَكُمْ	أوكتبتكم	ʾawakatábtakum
